country,indicator,date,value_ICU,daily_vaccinations
Austria,Daily ICU occupancy,27/12/2020,414,0
Austria,Daily ICU occupancy,28/12/2020,421,1318
Austria,Daily ICU occupancy,29/12/2020,411,1482
Austria,Daily ICU occupancy,30/12/2020,395,1446
Austria,Daily ICU occupancy,31/12/2020,396,1088
Austria,Daily ICU occupancy,1/01/2021,385,872
Austria,Daily ICU occupancy,2/01/2021,385,728
Austria,Daily ICU occupancy,3/01/2021,363,625
Austria,Daily ICU occupancy,4/01/2021,368,455
Austria,Daily ICU occupancy,5/01/2021,371,478
Austria,Daily ICU occupancy,6/01/2021,361,405
Austria,Daily ICU occupancy,7/01/2021,373,872
Austria,Daily ICU occupancy,8/01/2021,371,2757
Austria,Daily ICU occupancy,9/01/2021,369,3399
Austria,Daily ICU occupancy,10/01/2021,372,3720
Austria,Daily ICU occupancy,11/01/2021,379,4514
Austria,Daily ICU occupancy,12/01/2021,378,6403
Austria,Daily ICU occupancy,13/01/2021,354,8586
Austria,Daily ICU occupancy,14/01/2021,361,10538
Austria,Daily ICU occupancy,15/01/2021,337,11310
Austria,Daily ICU occupancy,16/01/2021,342,11650
Austria,Daily ICU occupancy,17/01/2021,328,12145
Austria,Daily ICU occupancy,18/01/2021,334,12977
Austria,Daily ICU occupancy,19/01/2021,332,14585
Austria,Daily ICU occupancy,20/01/2021,323,15672
Austria,Daily ICU occupancy,21/01/2021,340,16108
Austria,Daily ICU occupancy,22/01/2021,331,15113
Austria,Daily ICU occupancy,23/01/2021,323,14579
Austria,Daily ICU occupancy,24/01/2021,323,13944
Austria,Daily ICU occupancy,25/01/2021,321,12517
Austria,Daily ICU occupancy,26/01/2021,313,10013
Austria,Daily ICU occupancy,27/01/2021,304,7777
Austria,Daily ICU occupancy,28/01/2021,304,6347
Austria,Daily ICU occupancy,29/01/2021,295,6851
Austria,Daily ICU occupancy,30/01/2021,297,6934
Austria,Daily ICU occupancy,31/01/2021,297,6957
Austria,Daily ICU occupancy,1/02/2021,294,7416
Austria,Daily ICU occupancy,2/02/2021,300,8685
Austria,Daily ICU occupancy,3/02/2021,303,10157
Austria,Daily ICU occupancy,4/02/2021,298,11704
Austria,Daily ICU occupancy,5/02/2021,300,12604
Austria,Daily ICU occupancy,6/02/2021,300,13388
Austria,Daily ICU occupancy,7/02/2021,285,13908
Austria,Daily ICU occupancy,8/02/2021,281,14637
Austria,Daily ICU occupancy,9/02/2021,279,14943
Austria,Daily ICU occupancy,10/02/2021,265,15481
Austria,Daily ICU occupancy,11/02/2021,265,16084
Austria,Daily ICU occupancy,12/02/2021,263,16885
Austria,Daily ICU occupancy,13/02/2021,267,17070
Austria,Daily ICU occupancy,14/02/2021,255,16640
Austria,Daily ICU occupancy,15/02/2021,258,16259
Austria,Daily ICU occupancy,16/02/2021,264,15548
Austria,Daily ICU occupancy,17/02/2021,262,15220
Austria,Daily ICU occupancy,18/02/2021,264,14511
Austria,Daily ICU occupancy,19/02/2021,261,13729
Austria,Daily ICU occupancy,20/02/2021,261,14097
Austria,Daily ICU occupancy,21/02/2021,254,14664
Austria,Daily ICU occupancy,22/02/2021,252,14639
Austria,Daily ICU occupancy,23/02/2021,273,14677
Austria,Daily ICU occupancy,24/02/2021,255,14697
Austria,Daily ICU occupancy,25/02/2021,248,14717
Austria,Daily ICU occupancy,26/02/2021,260,15865
Austria,Daily ICU occupancy,27/02/2021,260,17601
Austria,Daily ICU occupancy,28/02/2021,283,18201
Austria,Daily ICU occupancy,1/03/2021,296,18484
Austria,Daily ICU occupancy,2/03/2021,301,20015
Austria,Daily ICU occupancy,3/03/2021,313,21200
Austria,Daily ICU occupancy,4/03/2021,302,22278
Austria,Daily ICU occupancy,5/03/2021,325,23410
Austria,Daily ICU occupancy,6/03/2021,316,23840
Austria,Daily ICU occupancy,7/03/2021,317,24090
Austria,Daily ICU occupancy,8/03/2021,333,24486
Austria,Daily ICU occupancy,9/03/2021,329,24899
Austria,Daily ICU occupancy,10/03/2021,324,25025
Austria,Daily ICU occupancy,11/03/2021,342,27495
Austria,Daily ICU occupancy,12/03/2021,346,30564
Austria,Daily ICU occupancy,13/03/2021,356,34044
Austria,Daily ICU occupancy,14/03/2021,352,36785
Austria,Daily ICU occupancy,15/03/2021,373,38144
Austria,Daily ICU occupancy,16/03/2021,395,38162
Austria,Daily ICU occupancy,17/03/2021,396,38966
Austria,Daily ICU occupancy,18/03/2021,388,37548
Austria,Daily ICU occupancy,19/03/2021,400,36895
Austria,Daily ICU occupancy,20/03/2021,393,36191
Austria,Daily ICU occupancy,21/03/2021,416,33971
Austria,Daily ICU occupancy,22/03/2021,436,33240
Austria,Daily ICU occupancy,23/03/2021,438,34292
Austria,Daily ICU occupancy,24/03/2021,450,35039
Austria,Daily ICU occupancy,25/03/2021,455,36679
Austria,Daily ICU occupancy,26/03/2021,471,36269
Austria,Daily ICU occupancy,27/03/2021,508,35417
Austria,Daily ICU occupancy,28/03/2021,518,35287
Austria,Daily ICU occupancy,29/03/2021,537,36825
Austria,Daily ICU occupancy,30/03/2021,538,37623
Austria,Daily ICU occupancy,31/03/2021,531,36989
Austria,Daily ICU occupancy,1/04/2021,534,36376
Austria,Daily ICU occupancy,2/04/2021,537,35342
Austria,Daily ICU occupancy,3/04/2021,533,32516
Austria,Daily ICU occupancy,4/04/2021,562,31861
Austria,Daily ICU occupancy,5/04/2021,570,29822
Austria,Daily ICU occupancy,6/04/2021,583,29364
Austria,Daily ICU occupancy,7/04/2021,583,32310
Austria,Daily ICU occupancy,8/04/2021,579,36744
Austria,Daily ICU occupancy,9/04/2021,582,41710
Austria,Daily ICU occupancy,10/04/2021,584,47966
Austria,Daily ICU occupancy,11/04/2021,599,50242
Austria,Daily ICU occupancy,12/04/2021,615,53487
Austria,Daily ICU occupancy,13/04/2021,596,54488
Austria,Daily ICU occupancy,14/04/2021,589,56180
Austria,Daily ICU occupancy,15/04/2021,571,56412
Austria,Daily ICU occupancy,16/04/2021,560,55237
Austria,Daily ICU occupancy,17/04/2021,549,54161
Austria,Daily ICU occupancy,18/04/2021,546,53196
Austria,Daily ICU occupancy,19/04/2021,568,52714
Austria,Daily ICU occupancy,20/04/2021,561,52744
Austria,Daily ICU occupancy,21/04/2021,551,52124
Austria,Daily ICU occupancy,22/04/2021,521,51610
Austria,Daily ICU occupancy,23/04/2021,518,51314
Austria,Daily ICU occupancy,24/04/2021,508,48777
Austria,Daily ICU occupancy,25/04/2021,521,50014
Austria,Daily ICU occupancy,26/04/2021,520,49890
Austria,Daily ICU occupancy,27/04/2021,521,50285
Austria,Daily ICU occupancy,28/04/2021,519,49586
