country,date,day,month,year,ICU_admission_value,daily_vaccinations
Austria,27/12/2020,27,12,2020,414,0
Austria,28/12/2020,28,12,2020,421,1318
Austria,29/12/2020,29,12,2020,411,1482
Austria,30/12/2020,30,12,2020,395,1446
Austria,31/12/2020,31,12,2020,396,1088
Austria,1/01/2021,1,1,2021,385,872
Austria,2/01/2021,2,1,2021,385,728
Austria,3/01/2021,3,1,2021,363,625
Austria,4/01/2021,4,1,2021,368,455
Austria,5/01/2021,5,1,2021,371,478
Austria,6/01/2021,6,1,2021,361,405
Austria,7/01/2021,7,1,2021,373,872
Austria,8/01/2021,8,1,2021,371,2757
Austria,9/01/2021,9,1,2021,369,3399
Austria,10/01/2021,10,1,2021,372,3720
Austria,11/01/2021,11,1,2021,379,4514
Austria,12/01/2021,12,1,2021,378,6403
Austria,13/01/2021,13,1,2021,354,8586
Austria,14/01/2021,14,1,2021,361,10538
Austria,15/01/2021,15,1,2021,337,11310
Austria,16/01/2021,16,1,2021,342,11650
Austria,17/01/2021,17,1,2021,328,12145
Austria,18/01/2021,18,1,2021,334,12977
Austria,19/01/2021,19,1,2021,332,14585
Austria,20/01/2021,20,1,2021,323,15672
Austria,21/01/2021,21,1,2021,340,16108
Austria,22/01/2021,22,1,2021,331,15113
Austria,23/01/2021,23,1,2021,323,14579
Austria,24/01/2021,24,1,2021,323,13944
Austria,25/01/2021,25,1,2021,321,12517
Austria,26/01/2021,26,1,2021,313,10013
Austria,27/01/2021,27,1,2021,304,7777
Austria,28/01/2021,28,1,2021,304,6347
Austria,29/01/2021,29,1,2021,295,6851
Austria,30/01/2021,30,1,2021,297,6934
Austria,31/01/2021,31,1,2021,297,6957
Austria,1/02/2021,1,2,2021,294,7416
Austria,2/02/2021,2,2,2021,300,8685
Austria,3/02/2021,3,2,2021,303,10157
Austria,4/02/2021,4,2,2021,298,11704
Austria,5/02/2021,5,2,2021,300,12604
Austria,6/02/2021,6,2,2021,300,13388
Austria,7/02/2021,7,2,2021,285,13908
Austria,8/02/2021,8,2,2021,281,14637
Austria,9/02/2021,9,2,2021,279,14943
Austria,10/02/2021,10,2,2021,265,15481
Austria,11/02/2021,11,2,2021,265,16084
Austria,12/02/2021,12,2,2021,263,16885
Austria,13/02/2021,13,2,2021,267,17070
Austria,14/02/2021,14,2,2021,255,16640
Austria,15/02/2021,15,2,2021,258,16259
Austria,16/02/2021,16,2,2021,264,15548
Austria,17/02/2021,17,2,2021,262,15220
