country,month,ICU_admission_value,daily_vaccinations
Austria,1,10634,239831
Austria,2,7610,404027
Austria,3,12195,974152
Austria,4,16575,1398950
Austria,5,9592,1998927
Austria,6,2919,2553517
Austria,7,1165,2018537
Austria,8,1651,790683
Austria,12,2037,5334
Belgium,1,11368,308733
Belgium,2,9102,515274
Belgium,3,16746,1036181
Belgium,4,26845,1854128
Belgium,5,19353,2882054
Belgium,6,7542,4096013
Belgium,7,2920,3551548
Belgium,8,3604,1694563
Belgium,12,1998,476
Bulgaria,1,1833,5822
Bulgaria,2,1178,24474
Bulgaria,3,2261,32013
Bulgaria,4,3067,40957
Bulgaria,5,2754,90001
Bulgaria,6,1026,53480
Bulgaria,7,466,34879
Bulgaria,8,424,35312
Cyprus,1,925,21005
Cyprus,2,551,48644
Cyprus,3,673,75844
Cyprus,4,1023,114264
Cyprus,5,958,316514
Cyprus,6,324,215033
Cyprus,7,691,180833
Cyprus,8,1264,101494
Czechia,1,33043,253331
Czechia,2,34392,373832
Czechia,3,58372,988643
Czechia,4,30571,1372040
Czechia,5,8360,2146113
Czechia,6,861,2854092
Czechia,7,172,2223860
Czechia,8,385,1086773
Czechia,12,4108,10898
Estonia,1,220,5478
Estonia,2,141,10593
Estonia,3,242,20320
Estonia,4,176,16578
Estonia,5,166,41647
Estonia,6,21,32609
Estonia,7,23,24576
Estonia,8,22,18929
Estonia,12,33,0
France,1,15074,243810
France,2,14744,429169
France,3,18358,858227
France,4,24654,1318060
France,5,22729,2380905
France,6,7653,2315894
France,7,3655,2446819
France,8,7167,2004010
France,12,2818,0
Germany,1,25649,358378
Germany,2,14128,540401
Germany,3,11588,984633
Germany,4,17719,1775250
Germany,5,20906,3512358
Germany,6,5672,3239757
Germany,7,1840,2420717
Germany,8,1785,1422976
Germany,12,5226,0
Ireland,1,680,28049
Ireland,2,656,34283
Ireland,3,362,52394
Ireland,4,215,84503
Ireland,5,194,141327
Ireland,6,97,231122
Ireland,7,73,220937
Ireland,8,147,151755
Latvia,1,339,3107
Latvia,2,381,5639
Latvia,3,330,12708
Latvia,4,355,21385
Latvia,5,453,69454
Latvia,6,223,46272
Latvia,7,74,29860
Latvia,8,42,20257
Lithuania,2,1066,71098
Lithuania,3,2363,234580
Lithuania,4,3401,430393
Lithuania,5,2156,412180
Lithuania,6,1550,651005
Lithuania,7,427,373777
Lithuania,8,1299,482946
Luxembourg,1,614,9800
Luxembourg,2,407,24525
Luxembourg,3,711,53748
Luxembourg,4,991,95207
Luxembourg,5,725,150609
Luxembourg,6,57,189741
Luxembourg,7,97,169026
Luxembourg,8,149,61428
Luxembourg,12,64,62
Malta,1,51,2293
Malta,2,33,7409
Malta,3,23,14423
Malta,4,15,18956
Malta,5,5,28912
Malta,6,0,19855
Malta,7,3,12839
Malta,8,17,6682
Netherlands,1,2417,45411
Netherlands,2,1821,147326
Netherlands,3,2015,155981
Netherlands,4,2822,365069
Netherlands,5,3090,654508
Netherlands,6,662,814331
Netherlands,7,191,614379
Netherlands,8,685,315416
Romania,1,4201,96832
Romania,2,3863,120209
Romania,3,4875,197184
Romania,4,5852,274149
Romania,5,4372,425313
Romania,6,1046,153017
Romania,7,211,62549
Romania,8,372,50093
Slovakia,1,8456,143269
Slovakia,2,12369,286970
Slovakia,3,17749,505108
Slovakia,4,12094,586521
Slovakia,5,5687,984867
Slovakia,6,1868,1045722
Slovakia,7,1019,661705
Slovakia,8,738,291574
Slovenia,1,5708,67758
Slovenia,2,3736,90660
Slovenia,3,2853,183568
Slovenia,4,4311,253998
Slovenia,5,3567,444254
Slovenia,6,1208,428853
Slovenia,7,311,239927
Slovenia,8,301,153189
Slovenia,12,1005,5555
Spain,1,13906,224741
Spain,2,15906,317173
Spain,3,8544,510565
Spain,4,8374,1044646
Spain,5,9460,1730243
Spain,6,3562,1869510
Spain,7,3376,2049303
Spain,8,7366,1333093
